accession	binomial	full_name	tax_id	strain	level	refseq_cat	n50	total_len	gc	n_assemblies
GCF_034961445.1	Streptomyces yaizuensis	Streptomyces yaizuensis	2989713	YSPA8	Contig	reference genome	430732	9049336	72.5	1
GCF_024666385.1	Streptomyces yangpuensis	Streptomyces yangpuensis	1648182	CM253	Complete Genome	reference genome	7435303	8092115	72	16
GCF_039535415.1	Streptomyces yanii	Streptomyces yanii	78510	JCM 3331	Contig	reference genome	272695	11292178	69.5	2
GCF_018069625.1	Streptomyces yatensis	Streptomyces yatensis	155177	DSM 41771	Complete Genome	reference genome	10360357	10360357	71.5	2
GCF_000716805.1	Streptomyces yerevanensis	Streptomyces yerevanensis	66378	NRRL B-16943	Contig	reference genome	150519	10925884	69.5	1
GCF_001514035.1	Streptomyces yokosukanensis	Streptomyces yokosukanensis	67386	DSM 40224	Scaffold	reference genome	258279	10159272	71.5	2
GCF_039543425.1	Streptomyces youssoufiensis	Streptomyces youssoufiensis	654447	JCM 18307	Scaffold	reference genome	117337	8630789	73	1
GCF_029011865.1	Streptomyces yunnanensis	Streptomyces yunnanensis	156453	P86	Complete Genome	reference genome	9982274	9982274	71.5	2
GCF_032248645.1	Streptomyces zaehneri	Streptomyces zaehneri	3051180	DSM 40713	Contig	reference genome	255620	9136514	71.5	1
GCF_014203645.1	Streptomyces zagrosensis	Streptomyces zagrosensis	1042984	CECT 8305	Contig	reference genome	357492	8746444	69	1
GCF_036035005.1	Streptomyces zaomyceticus	Streptomyces zaomyceticus	68286	NBC_00415	Complete Genome	reference genome	9360127	9485507	72	21
GCF_900230195.1	Streptomyces zhaozhouensis	Streptomyces zhaozhouensis	1300267	CGMCC 4.7095	Contig	reference genome	234483	6532426	73.5	1
GCF_016919245.1	Streptomyces zhihengii	Streptomyces zhihengii	1818004	YIM T102	Scaffold	reference genome	6589952	9733137	73	10
GCF_000225525.1	Streptomyces zinciresistens	Streptomyces zinciresistens K42	700597	K42	Contig	reference genome	31811	8221694	72.5	1
GCF_012034935.1	Streptomyces zingiberis	Streptomyces zingiberis	2053010	PLAI 1-29	Contig	reference genome	219934	6491253	74.5	1
GCF_039542605.1	Streptomyces ziwulingensis	Streptomyces ziwulingensis	1045501	JCM 18081	Scaffold	reference genome	155763	8331878	72.5	2
GCF_003391135.1	Streptoverticillium olivoreticuli	Streptoverticillium olivoreticuli subsp. olivoreticuli	284034	ATCC 31159	Complete Genome		8809793	8809793	71	1
GCF_047456005.1	Streptoverticillium reticulum	Streptoverticillium reticulum	1433415	J-35	Complete Genome	reference genome	8381923	8499774	71.5	1
