locus_tag	old_locus_tag	gene_name	product	tf_family	region	nearest_methyl_distance	n_methyl_sites_2kb	baseMean	LFC_T2vsT1	LFC_T3vsT1	n_FIMO_hits	classification
SC_RS37650			LysR family transcriptional regulator	LysR	1	1330	3	8.564	-1.502	0.384	3	shielded
SC_RS37660	SCO7086		MerR family transcriptional regulator	MerR	1	190	2	38.084	-0.295	-0.776	4	shielded
SC_RS37670	SCO7088		response regulator	Response regulator	1	1224	3	17.137	-0.718	2.353	3	shielded
SC_RS37675	SCO7089		sensor histidine kinase	Sensor kinase	1	34	2	28.763	0.569	2.938	3	exposed
SC_RS37710	SCO7097		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	3161	0	11.152	-0.869	3.208	8	shielded
SC_RS37720	SCO7099		sigma-70 family RNA polymerase sigma factor family protein	Sigma factor	1	1172	1	20.755	-0.361	3.121	3	shielded
SC_RS37745	SCO7104		sigma-70 family RNA polymerase sigma factor family protein	Sigma factor	1	802	2	129.226	-0.253	-0.061	5	shielded
SC_RS37750	SCO7105		RNA polymerase sigma-70 factor	Sigma factor	1	1045	2	30.893	-1.048	1.109	5	shielded
SC_RS37755	SCO7106		WhiB family transcriptional regulator	WhiB	1	1005	2	9.682	0.311	3.264	3	shielded
SC_RS37785	SCO7112		RNA polymerase sigma-70 factor	Sigma factor	1	513	2	168.18	-1.574	-1.3	2	shielded
SC_RS37895	SCO7134		helix-turn-helix transcriptional regulator	HTH (other)	1	1257	2	319.025	-1.058	-0.936	2	shielded
SC_RS37925	SCO7140		helix-turn-helix transcriptional regulator	HTH (other)	1	688	3	115.24	1.253	0.228	1	shielded
SC_RS37935	SCO7142		winged helix-turn-helix transcriptional regulator	HTH (other)	1	340	4	89.291	0.312	-0.405	4	shielded
SC_RS37940	SCO7143		helix-turn-helix transcriptional regulator	HTH (other)	1	262	4	234.953	0.605	0.207	8	shielded
SC_RS37945	SCO7144		sigma-70 family RNA polymerase sigma factor	Sigma factor	1	1015	2	23.337	0.285	2.195	4	shielded
SC_RS37950	SCO7145		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	67	2	9.495	-0.039	3.902	5	shielded
SC_RS37955	SCO7146		ArsR/SmtB family transcription factor	ArsR	1	425	2	124.297	0.121	-0.912	2	shielded
SC_RS38065	SCO7168		GntR family transcriptional regulator	GntR	1	1165	2	400.661	-0.608	-1.14	2	shielded
SC_RS38095	SCO7175		SsgA family sporulation/cell division regulator	Other regulatory	1	1745	1	13.806	0.287	3.445	1	shielded
SC_RS38105	SCO7178		helix-turn-helix transcriptional regulator	HTH (other)	1	2590	0	14.09	0.12	4.482	3	shielded
SC_RS38175	SCO7192		sigma factor-like helix-turn-helix DNA-binding protein	Sigma factor	1	3058	0	104.472	5.246	4.475	5	shielded
SC_RS38220	SCO7201		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	622	6	73.957	-0.288	-0.707	11	shielded
SC_RS38325	SCO7222		TetR/AcrR family transcriptional regulator	TetR	1	481	5	64.479	-0.257	-0.211	7	shielded
SC_RS38365	SCO7230		response regulator transcription factor	Response regulator	1	1455	2	98.699	0.258	-0.23	6	shielded
SC_RS38475	SCO7252		DNA-binding protein NsdB	Other regulatory	1	46	4	9088.506	9.317	7.764	1	exposed
SC_RS38565	SCO7270		LysR family transcriptional regulator	LysR	1	1794	1	97.952	-0.452	-0.091	3	shielded
SC_RS38605	SCO7278		RNA polymerase sigma factor SigF	Sigma factor	1	233	4	371.917	0.758	0.344	9	shielded
SC_RS38610	SCO7279		helix-turn-helix domain-containing protein	HTH (other)	1	25	4	213.166	1.512	1.437	8	exposed
SC_RS38660	SCO7289		SsgA family sporulation/cell division regulator	Other regulatory	1	2095	0	19.637	-0.222	0.691	7	shielded
SC_RS38730	SCO7303		TetR/AcrR family transcriptional regulator	TetR	1	919	2	43.0	-0.355	-0.255	3	shielded
SC_RS38745	SCO7306		WhiB family transcriptional regulator	WhiB	1	711	1	20.739	1.36	1.243	8	shielded
SC_RS38750	SCO7307		LysR family transcriptional regulator ArgP	LysR	1	1514	2	87.995	0.966	-0.222	7	shielded
SC_RS38785	SCO7314		SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	1	67	3	72.935	1.929	1.494	8	exposed
SC_RS38825	SCO7322		anti-sigma regulatory factor	Anti-sigma	1	2951	0	166.72	0.162	-0.806	4	shielded
SC_RS38920	SCO7341		SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	1	1891	1	17.458	0.182	3.644	6	shielded
SC_RS38950	SCO7347		TetR/AcrR family transcriptional regulator	TetR	1	686	5	152.872	-1.238	-1.576	4	shielded
SC_RS38960	SCO7351		helix-turn-helix transcriptional regulator	HTH (other)	1	164	6	31.154	1.575	2.389	5	shielded
SC_RS39010	SCO7361		helix-turn-helix domain-containing protein	HTH (other)	1	410	3	235.581	-0.703	-0.686	2	shielded
SC_RS39025	SCO7364		TetR/AcrR family transcriptional regulator	TetR	1	849	3	80.713	-0.491	0.144	4	shielded
SC_RS39260	SCO7411		LacI family DNA-binding transcriptional regulator	LacI	1	157	1	49.329	0.675	1.127	5	exposed
SC_RS39325	SCO7424		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	973	5	49.352	2.328	0.547	4	shielded
SC_RS39340	SCO7427	nsrR	nitric oxide-sensing transcriptional repressor NsrR	Repressor	1	1270	2	565.458	2.076	0.167	7	shielded
SC_RS39370	SCO7433		LysR family transcriptional regulator	LysR	1	437	2	28.759	-0.013	2.413	7	shielded
SC_RS39395	SCO7438		LysR family transcriptional regulator	LysR	1	959	1	30.482	-0.608	0.522	12	shielded
SC_RS39410	SCO7441		TetR/AcrR family transcriptional regulator	TetR	1	1803	1	68.197	0.097	-0.41	6	shielded
SC_RS39630	SCO7486		ROK family transcriptional regulator	ROK	1	25	4	196.948	-0.762	-0.936	4	shielded
SC_RS39685	SCO7497		AraC family transcriptional regulator	AraC	1	464	5	35.103	-0.638	0.188	13	shielded
SC_RS39690	SCO7498		GntR family transcriptional regulator	GntR	1	696	2	92.822	-1.913	-1.716	9	shielded
SC_RS39710	SCO7502		LacI family DNA-binding transcriptional regulator	LacI	1	156	3	161.126	0.015	-0.443	0	shielded
SC_RS39760	SCO7512		GlxA family transcriptional regulator	Other regulatory	1	322	2	38.272	-0.01	0.714	2	shielded
SC_RS39790	SCO7518		TetR/AcrR family transcriptional regulator	TetR	1	700	3	131.919	0.783	-1.492	2	shielded
SC_RS39835	SCO7527		helix-turn-helix transcriptional regulator	HTH (other)	1	869	3	25.626	0.997	2.118	1	shielded
SC_RS39845	SCO7529		winged helix DNA-binding domain-containing protein	HTH (other)	1	317	3	39.968	1.19	1.462	2	shielded
SC_RS39850	SCO7530		MerR family transcriptional regulator	MerR	1	225	6	50.891	0.805	1.691	8	exposed
SC_RS39865	SCO7533		response regulator transcription factor	Response regulator	1	799	2	64.665	1.261	2.189	3	shielded
SC_RS39870	SCO7534		sensor histidine kinase	Sensor kinase	1	1497	2	49.228	2.251	3.577	3	shielded
SC_RS39890	SCO7538		LysR family transcriptional regulator	LysR	1	596	2	95.849	0.924	0.184	2	shielded
SC_RS39895	SCO7539		TetR/AcrR family transcriptional regulator	TetR	1	2291	0	107.243	1.905	0.263	5	shielded
SC_RS39915	SCO7543		ROK family transcriptional regulator	ROK	1	283	2	38.769	0.317	1.669	6	shielded
SC_RS39960	SCO7552		TetR/AcrR family transcriptional regulator	TetR	1	123	6	64.898	0.867	0.645	3	shielded
SC_RS39970	SCO7554		LacI family DNA-binding transcriptional regulator	LacI	1	1047	2	461.493	-0.986	-1.778	11	shielded
SC_RS40010	SCO7562		IclR family transcriptional regulator	IclR	1	1146	2	81.818	0.089	-0.344	3	shielded
SC_RS40040	SCO7568		ROK family protein	ROK	1	51	3	75.521	-1.255	0.155	5	exposed
SC_RS40095	SCO7579		helix-turn-helix domain-containing protein	HTH (other)	1	938	1	91.085	1.978	2.067	1	shielded
SC_RS40120	SCO7584		TetR/AcrR family transcriptional regulator	TetR	1	236	1	133.004	0.325	-0.85	7	shielded
SC_RS40125	SCO7585		MerR family transcriptional regulator	MerR	1	662	1	119.419	3.482	1.812	3	shielded
SC_RS40155	SCO7591		LysR substrate-binding domain-containing protein	LysR	1	1105	1	42.631	0.024	0.841	7	shielded
SC_RS40190	SCO7599		MurR/RpiR family transcriptional regulator	Other regulatory	1	2211	0	98.068	2.322	1.148	2	shielded
SC_RS40205	SCO7602		TetR/AcrR family transcriptional regulator	TetR	1	280	3	76.456	0.173	-0.124	3	shielded
SC_RS40210	SCO7603		LysR family transcriptional regulator	LysR	1	889	3	73.535	-0.105	0.202	5	shielded
SC_RS40245	SCO7610		helix-turn-helix transcriptional regulator	HTH (other)	1	82	4	27.829	0.832	1.935	4	shielded
SC_RS40270	SCO7615		helix-turn-helix domain-containing protein	HTH (other)	1	486	3	391.212	2.283	-0.812	1	shielded
SC_RS40285	SCO7618		IclR family transcriptional regulator	IclR	1	2478	0	145.955	2.489	-0.013	3	shielded
SC_RS40315	SCO7624		TetR/AcrR family transcriptional regulator	TetR	1	511	3	69.825	1.79	0.91	4	shielded
SC_RS40390	SCO7639		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	865	3	56.968	-1.968	-1.603	3	shielded
SC_RS40395	SCO7640		LysR family transcriptional regulator	LysR	1	560	1	51.868	-0.99	-0.205	1	shielded
SC_RS40420	SCO7645		TetR/AcrR family transcriptional regulator	TetR	1	2733	0	79.363	0.772	0.071	2	shielded
SC_RS40435	SCO7648		response regulator transcription factor	Response regulator	1	32	1	120.995	2.439	2.048	4	exposed
SC_RS40440	SCO7649		sensor histidine kinase	Sensor kinase	1	1306	3	134.334	0.832	0.894	1	shielded
SC_RS40450	SCO7651		TetR/AcrR family transcriptional regulator	TetR	1	88	5	21.232	-0.07	0.755	2	shielded
SC_RS40655	SCO7694		TetR/AcrR family transcriptional regulator	TetR	1	1696	2	85.195	-0.651	-0.83	1	shielded
SC_RS40665	SCO7696		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	626	7	29.458	-0.385	-0.22	14	shielded
SC_RS40675	SCO7698		MerR family transcriptional regulator	MerR	1	1133	6	771.142	6.714	3.815	7	shielded
SC_RS40695	SCO7702		FadR/GntR family transcriptional regulator	GntR	1	975	2	120.294	1.256	-0.053	5	shielded
SC_RS40705	SCO7704		TetR/AcrR family transcriptional regulator	TetR	1	48	3	101.69	-0.038	-0.753	2	shielded
SC_RS40715	SCO7706		helix-turn-helix transcriptional regulator	HTH (other)	1	811	1	49.609	-0.585	-0.406	2	shielded
SC_RS40730	SCO7709		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	396	4	42.323	-0.129	-0.305	1	shielded
SC_RS40740	SCO7711		sensor histidine kinase	Sensor kinase	1	35	4	174.722	3.156	3.14	2	exposed
SC_RS40745	SCO7712		response regulator	Response regulator	1	1194	4	96.038	1.2	0.408	3	shielded
SC_RS40780	SCO7719		TetR/AcrR family transcriptional regulator	TetR	1	912	3	56.779	0.511	0.08	3	shielded
SC_RS40805	SCO7724		transcriptional regulator	Other regulatory	1	426	2	100.476	-2.61	-0.431	3	shielded
SC_RS40820	SCO7727		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	1376	2	185.858	-0.851	-1.193	3	shielded
SC_RS40860	SCO7735		AraC family transcriptional regulator	AraC	1	848	8	15.294	0.253	0.048	9	shielded
SC_RS40895	SCO7742		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	1609	1	50.915	0.926	0.455	3	shielded
SC_RS40930	SCO7751		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	338	2	32.739	-0.463	0.505	1	shielded
SC_RS40940	SCO7753		helix-turn-helix transcriptional regulator	HTH (other)	1	1026	2	55.047	-1.917	-1.257	3	shielded
SC_RS40985	SCO7765		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	3695	0	185.556	0.596	0.566	7	shielded
SC_RS40995	SCO7767		helix-turn-helix transcriptional regulator	HTH (other)	1	2227	0	70.439	0.115	0.271	2	shielded
SC_RS41010	SCO7770		tetratricopeptide repeat protein	TetR	1	807	1	27.528	1.495	2.051	4	shielded
SC_RS41050	SCO7778		IclR family transcriptional regulator	IclR	1	411	3	121.46	1.546	0.842	4	shielded
SC_RS41060	SCO7780		helix-turn-helix domain-containing protein	HTH (other)	1	975	3	138.911	1.558	0.396	4	shielded
SC_RS41085	SCO7785		TetR/AcrR family transcriptional regulator	TetR	1	492	3	275.002	2.862	1.132	7	shielded
SC_RS41090			helix-turn-helix domain-containing protein	HTH (other)	1	2231	0	38.411	1.358	1.646	8	shielded
SC_RS41130	SCO7794		TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	1	1112	1	49.938	-1.171	-0.481	1	shielded
SC_RS41190	SCO7809		TetR/AcrR family transcriptional regulator	TetR	1	1096	3	49.398	-0.338	-0.28	8	shielded
SC_RS41225	SCO7815		TetR/AcrR family transcriptional regulator	TetR	1	15	2	80.178	-0.156	-0.823	4	shielded
SC_RS41235	SCO7817		helix-turn-helix transcriptional regulator	HTH (other)	1	358	2	57.252	2.932	2.902	4	shielded
SC_RS41270	SCO7824		TetR/AcrR family transcriptional regulator	TetR	1	1253	2	57.689	0.911	0.363	2	shielded
